PMG11_00564	1242	8
PMG11_00565	801	0
PMG11_00566	3156	21
PMG11_00567	399	109
PMG11_00568	1464	17
PMG11_00569	1347	1068
PMG11_00570	1461	39
PMG11_00571	606	8
PMG11_00572	1827	23
PMG11_00573	2250	38
PMG11_00574	450	634
PMG11_00575	441	0
PMG11_00576	3780	5
PMG11_00577	1680	22
PMG11_00578	1866	0
PMG11_00579	1152	78
PMG11_00580	1431	6
PMG11_00581	777	19
PMG11_00582	936	6152
PMG11_00583	1830	162
PMG11_00584	4185	67
PMG11_00585	639	8
PMG11_00586	1305	16
PMG11_00587	393	38
PMG11_00588	774	17
PMG11_00589	996	43
PMG11_00590	3930	271
PMG11_00591	450	1526
PMG11_00592	1701	3
PMG11_00593	1755	13
PMG11_00594	1065	9
PMG11_00595	1695	6
PMG11_00596	1464	0
